Categoria,Subcategoria,Tarea,Unidad_ref,Rendimiento_base,Horas_por_unidad,Cuadrilla_base,Supuestos,Factores_ajuste,Materiales_basicos_por_unidad,Notas,Fuentes
HVAC / Clima,"Conductos chapa (26 ga, baja presión)","Colocación de tramo recto 12""x12"" (≈ 305x305mm), pieza 1,52 m","h/pieza (1,52 m)",1.1613053071652537,0.8611,2 montadores,Perímetro 'stretch-out' 4 ft; uniones cada 5 ft; anclajes estándar,Altura +10–30%; obra ocupada +15%; exteriores/intemperie +10%,"Cuelgues, tornillería, sellante, aislante si procede","Conversión ≈0,57 h/m; usar tablas SMACNA según calibre/medida",SMACNA vía MEP Academy (ejemplo de productividad)
HVAC / Clima,Difusores y rejillas,Montaje y conexionado de difusor estándar 600x600,h/unidad,2.857142857142857,0.35,2 montadores,"Plenum flexible, sellado y nivelación","+0,15 h si techo escayola frágil; +0,2 h si no hay preinstalación","Difusor, plenum, abrazaderas, tornillería",Rendimiento medio obra nueva,Práctica sector
HVAC / Clima,Aislamiento conductos,Aislar conducto rectangular con lana 25 mm + revestimiento,h/m² de superficie de conducto,0.2,0.2,2 instaladores,"Superficie accesible, cinta y sellado de juntas","+0,05 h/m² si hay muchos codos/ramales","Lana + foil, adhesivo, cinta aluminio, remates",Rendimiento típico taller/campo,Práctica sector
Pladur / PYL,Tabique sencillo 13/48/400 (Q2),Montaje estructura + 1 placa/ cara + encintado (1ª mano),h/m²,7.142857142857142,0.14,2 montadores PYL,"Altura ≤ 2,7 m; paso de instalaciones ligero; sin puertas",Altura >3 m +10-20%; muchas cajas eléctricas +10%,"Placas 12,5-15 mm, montantes, canales, tornillería, banda, pasta, cinta",Rendimiento medio; verificar sistema exacto en Pladur/Placo,Pladur/Placo (materiales por m²); práctica de obra
Pladur / PYL,"Falso techo continuo 12,5 mm",Estructura + placa + encintado inicial,h/m²,5.88235294117647,0.17,2 montadores PYL,"Altura ≤ 2,7 m; sin foseados; modulación estándar",Foseados/registrables +20-40%; luminarias empotradas +15%,"Placa, perfilería, varillas/ancoras, tornillos, pasta y cinta",Rendimiento orientativo,Obramat (rendimientos de materiales) + práctica
Pintura,Interior (manual),Aplicación pintura plástica blanca (por mano),h/m²,14.285714285714285,0.07,1 pintor + 1 ayudante (preparación),Rodillo microfibra; superficie lisa; sin gotelé,Color intenso +5-10%; muchas reparaciones +20-40%,"Pintura plástica, cinta, plásticos, rodillos/brochas",Cobertura típica y productividad media sobria,"Habitissimo (precios/hora), guías de cobertura 8–12 m²/L"
Pintura,Airless (productivo),Pintura interior con airless (por mano),h/m²,33.333333333333336,0.03,2 operarios (aplica + manguera/protecciones),Airless HEA; obra vacía/protegida,Obra ocupada +20-40%; techos altos +10-20%,"Equipo airless, pintura, protecciones",Rendimiento alto posible con obra despejada,Fabricantes airless (rendimientos altos) + práctica
Impermeabilización,Membrana líquida (PU),Aplicación 2 capas PU monocomponente terraza,h/m²,10.0,0.1,2 aplicadores,Soporte limpio y seco; sin refuerzos singulares,Suelos muy fisurados +20-30%; petos y sumideros aumentan tiempos,"PU, imprimación, malla en puntos singulares",No incluye curado; planificar tiempos muertos,Cronoshare (rangos precio) + práctica
Impermeabilización,Lámina asfáltica (APP/SBS),Suministro y soldadura lámina 4 kg,h/m²,8.333333333333334,0.12,2 aplicadores,Superficie libre; soplete; solapes estándar,Muchos encuentros +15-25%,"Lámina, soplete, imprimación, remates",Rendimiento medio,Práctica sector
Carpintería metálica,Puerta metálica peatonal,Fabricación y colocación puerta metálica sencilla,h/unidad,0.125,8.0,1 oficial + 1 ayudante (instalación),Marco existente preparado; sin obra civil,Obra civil +4-8 h; medidas especiales +20%,"Chapa/perfil, bisagras, cerradura, anclajes",Fabricación puede estar externalizada,Práctica sector
Carpintería de madera,Puerta interior DM lacada,Colocación (sin fabricar),h/unidad,0.5,2.0,1 carpintero + 1 ayudante,"Hueco preparado, herrajes estándar","Ajustes de marco +0,5-1,0 h","Espumas, cuñas, burletes, herrajes",Solo instalación,Práctica sector
Aluminio/PVC,Ventana corredera 1200x1200,Instalación (sin obra),h/unidad,0.6666666666666666,1.5,2 instaladores,Retirada ventana antigua no incluida,"Retirada +0,5-1,0 h; altura +0,25 h","Tornillería, cuñas, sellador, espuma PU",Sin remates de albañilería,Práctica sector
Rotulación,Vinilo monomérico (instalación),Colocación sobre cristal 1x2 m,h/m²,4.0,0.25,2 rotulistas,"Superficie limpia, acceso cómodo",Alturas/andamio +15-30%,"Vinilo, espátulas, agua/jabón, cutter",Incluye limpieza ligera,Práctica sector
Contenedores,Entrega/retirada 5-6 m³,Tiempo de ciclo camión (urbano),h/servicio,1.0,1.0,1 conductor + camión pluma,"Radio ≤ 10 km, tráfico medio","Tráfico, licencias, esperas en obra","Diablos/cadenas, EPIs, señalización",Ventanas de carga en ciudad pueden duplicar el tiempo,Práctica sector
